oblast,town,name,category,description,address
Чернігівська область,Чернігів,"Чернігівське обласне об'єднання організацій роботодавців ""Сіверщина""",Об'єднання підприємців,"Захист законних прав та інтересів як роботодавців області, так і працівників їх підприємств у трудових, соціальних та економічних відносинах.","м. Чернігів, вул. Квітнева, 20"
Чернігівська область,Чернігів,"ГО ""Спілка жінок Чернігівщини""",Об'єднання підприємців,"За 25 років існування ГО ""Спілка жінок Чернігівщини"", займаючи активну громадянську позицію, стала впливовою, авторитетною, знаною не тільки в області, а й в Україні загалом. Організація займається навчанням (тренінги, семінари, курси), підтримкою та розвитком місцевого бізнесу та новостворених підприємств.","м. Чернігів, вул. Захісників України, 9, офіс 513"
Чернігівська область,Чернігів,Інформаційний пункт підприємця,Центри підтримки підприємництва,,"м. Чернігів, вул. Рокоссовського, 20-А (примішення ЦНАП)"
Чернігівська область,Прилуки,Центр підтримки підприємництва Прилуцької міської ради,Центри підтримки підприємництва,"Координатор роботи центру - відділ економіки Прилуцької міської ради. Постійне фінансове супроводження діяльності центру здійснює ПрАТ ""А/Т тютюнова компанія ""В.А.Т.- Прилуки"". Центр надає на безкоштовній основі консультаційно-інформаційні послуги суб'єктам господарювання, організовує проведення тренінгів та навчальних заходів.","м. Прилуки, вул. Київська, 281, каб.71 (ІІ поверх)"
Чернігівська область,Короп,Агенція регіонального розвитку Коропщини,Агенції регіонального та місцевого розвитку,"Сприяння реалізації стратегії розвитку, програм і проєктів розвитку, залучення інвестиційних ресурсів, впровадження реформи децентралізації.","смт Короп, вул. Горького, 15, кв, 1"
Чернігівська область,Куликівка,"ГО ""Агенція місцевого розвитку м.Енергодар""",Агенції регіонального та місцевого розвитку,"Сприяння реалізації стратегії розвитку, програм і проєктів розвитку, залучення інвестиційних ресурсів, впровадження реформи децентралізації.","Куликівський район, смт Куликівка, вул. Миру, 67"
Чернігівська область,Куликівка,"Первинна профспілкова організація підприємців Куликівського району Всеукраїнської профспілки ""Захист справедливості""",Об'єднання підприємців,Захист прав та інтересів підприємців.,"Куликівський район, смт Куликівка, вул. Стадіонна, 6А/8"
Донецька область,Миколаївка,"ГО ""Асоціація підприємців Миколаївської ОТГ""",Об'єднання підприємців,"Навчання, семінари, тренінги.  Підтримка та розвиток місцевого бізнесу.","Слов'янський район, м. Миколаївка, вул. Січових стрільців, 39"
Запорізька область,Запоріжжя,Обласна координаційна рада з питань розвитку підприємництва,Центри підтримки підприємництва,"Створена з метою запровадження постійної взаємодії місцевих органів виконавчої влади з суб’єктами підприємницької діяльності, обласними громадськими об’єднаннями підприємців, громадськими організаціями, а також із підприємствами, установами та організаціями області.","м. Запоріжжя, проспект Соборний, 164"
Запорізька область,Запоріжжя,"ГО ""Підприємницька єдність""",Об'єднання підприємців,,"м. Запоріжжя, вул. Оптимістична, 14, кв. 125"
Запорізька область,Запоріжжя,"Спілка підприємців, малих, середніх та приватизованих підприємств України",Об'єднання підприємців,,"м. Запоріжжя, вул. Радгоспна, 36А"
Запорізька область,Запоріжжя,"ГО ""Запорізька правобережна асоціація промисловців і підприємців""",Об'єднання підприємців,,"м. Запоріжжя, вул. Мінська, 9"
Запорізька область,Запоріжжя,Запорізький обласний союз промисловців і підприємців (роботодавців) «Потенціал»,Об'єднання підприємців,,"м. Запоріжжя, проспект Соборний, 135"
Запорізька область,Запоріжжя,Коворкінг «Business Women`s Space»,"Коворкінги, інкубатори, акселератори",,"м. Запоріжжя, вул. Матросова, 23"
Запорізька область,Запоріжжя,"Коворкинг ""IT HUB Coworking place""","Коворкінги, інкубатори, акселератори",,"м. Запоріжжя, проспект Соборний, 24"
Запорізька область,Запоріжжя,Коворкінг «Edison Space»,"Коворкінги, інкубатори, акселератори","Еvent-простір на 150 осіб для проведення лекцій, семінарів і майстер-класів; лекторій на 50 осіб.","м. Запоріжжя, вул. Матросова, 23"
Запорізька область,Запоріжжя,"Коворкінг ""Спільно-HUB""","Коворкінги, інкубатори, акселератори",,"м. Запоріжжя, пр. Соборний, 142, 4 поверх"
Запорізька область,Запоріжжя,Швейний коворкінг,"Коворкінги, інкубатори, акселератори",Оренда приміщення та швейного устаткування. Надання консультацій щодо шиття та надання освітніх послуг.,"м. Запоріжжя, вул. Фортечна, 45"
Запорізька область,Запоріжжя,Б'юті-коворкінг GoBeauty Studios Ukraine,"Коворкінги, інкубатори, акселератори",Оренда оснащеного робочого місця для працівників б'юті-індустрії.,"м. Запоріжжя,  проспект Соборний, 160"
Запорізька область,Запоріжжя,"Запорізький обласний бізнес-центр, заснований на власності РФПП по Запорізькій області",Консультаційні та освітні центри,,"м. Запоріжжя, вул. Незалежної України, 90, офіс 27"
Запорізька область,Запоріжжя,Бізнес-інкубатор на базі КВНЗ «Хортицька національна навчально-реабілітаційна академія»,"Коворкінги, інкубатори, акселератори","Реалізація заходів, спрямованих на популяризацію підприємництва й запуск власного бізнесу серед студентів та викладачів університету, сприяння розвитку молодіжного підприємництва.","м. Запоріжжя, вул. Наукове містечко, 59"
Запорізька область,Запоріжжя,Бізнес-інкубатор при національному університеті Запорізька політехніка,"Коворкінги, інкубатори, акселератори","Реалізація заходів, спрямованих на популяризацію підприємництва й запуск власного бізнесу серед студентів та викладачів університету, сприяння розвитку молодіжного підприємництва.","м. Запоріжжя, вул. Жуковського, 64"
Запорізька область,Запоріжжя,Запорізька міська координаційна рада з питань розвитку підприємництва,Консультаційні та освітні центри,,"м. Запоріжжя, проспект Соборний, 206"
Запорізька область,Запоріжжя,"Міська спілка підприємців ""НІКА""",Об'єднання підприємців,Інформаційна та комунікаційна підтримка підприємців. Захист прав та представництво інтересів.,"м. Запоріжжя, вул. Жуковського, 32, оф. 10"
Запорізька область,Запоріжжя,Zaporizhzhia.city Hub,"Коворкінги, інкубатори, акселератори","Центр підтримки соціальних інновацій, зручна локація для зустрічей і культурного дозвілля, проведення виставок, сучасна конференц-зала.","м. Запоріжжя, пр. Соборний, 151"
Запорізька область,Бердянськ,"ГО ""Спілка захисту приватних підприємців м. Бердянська""",Об'єднання підприємців,,"м. Бердянськ, проспект Праці, 27"
Запорізька область,Бердянськ,Бізнес-інкубатор на базі Бердянського державного педагогічного університету,"Коворкінги, інкубатори, акселератори","Реалізація заходів, спрямованих на популяризацію підприємництва й запуск власного бізнесу серед студентів та викладачів університету, сприяння розвитку молодіжного підприємництва в Бердянську та регіоні.","м. Бердянськ, вул. Шмідта, 4"
Запорізька область,Енергодар,"Молодіжна ГО ""Відродження""",Об'єднання підприємців,"Співпраця та реалізація проєктів з Німецьким товариством міжнародного співробітництва (GIZ) ГмбХ, співпраця з Енергодарською міською владою, проєктом «Партнерство для розвитку міст» (ПРОМІС) та іншими.<br />
","м. Енергодар, вул. Молодіжна, 3а"
Запорізька область,Енергодар,"ГО ""Агенція місцевого розвитку м.Енергодар""",Агенції регіонального та місцевого розвитку,"Участь в розробці та сприяння реалізації: програми підтримки та розвитку малого і середнього підприємництва в м.Енергодар на 2018-2022 роки. Участь у реалізації проєктів, спрямованих на розвиток та підтримку підприємництва та самозайнятості в м.Енергодар.<br />
","місто Енергодар, вул. Молодіжна, 43"
Запорізька область,Енергодар,ГО «Енергодарська спілка промисловців та підприємців»,Об'єднання підприємців,,"місто Енергодар, пр. Будівельників, 17-А"
Запорізька область,Енергодар,ГО «Гільдія підприємців м. Енергодар»,Об'єднання підприємців,,"м. Енергодар, пр. Будівельників, 22"
Запорізька область,Енергодар,Міська координаційна рада з питань розвитку підприємництва,Центри підтримки підприємництва,"Координація роботи між виконавчим комітетом і міською радою, громадськими організаціями підприємців та суб’єктів підприємницької діяльності щодо розвитку та підтримки малого і середнього бізнесу, запровадження єдиної державної регуляторної політики у сфері  господарської діяльності. Підготовка пропозицій щодо вдосконалення нормативно-правової бази у сфері розвитку та підтримки МСБ у місті. Обговорення та надання рекомендацій щодо вирішення спірних питань, що виникають у сфері підприємництва.","м. Енергодар, вул. Курчатова, 11"
Запорізька область,Мелітополь,"Запорізька обласна ГО ""Запорізький інформаційно-консультаційний центр ""Агро-Таврія""",Консультаційні та освітні центри,"Органіція об'єднує групу консультантів, які надають послуги малим та дрібним агровиробникам з питань агротехнології, агробізнесу та маркетингу. ","м. Мелітополь, пр. Б. Хмельницького, 18, к. 9.210"
Запорізька область,Мелітополь,"ГО ""Мелітопольський районний клуб ""Сучасна пасіка""",Об'єднання підприємців,"Організація об'єднує та інформаційно підтримує як бджолярів-початківців, так і досвідчених пасічників.","м. Мелітополь, проспект Хмельницького, 18, к. 5.201"
Запорізька область,Мелітополь,Комунальна установа “Агенція розвитку Мелітополя”,Агенції регіонального та місцевого розвитку,"Надання послуг суб’єктам господарської діяльності по розробці інвестиційних проєктів, написанню грантів, а також надання консультаційного супроводу. Здійснення досліджень потенційних об’єктів інвестиційної привабливості міста. Інформаційне обслуговування учасників інвестиційних проєктів і програм. Сприяння створенню та консультаційна підтримка індустріальних парків, технопарків, бізнес-інкубаторів з метою розвитку території та появи додаткових робочих місць.","м. Мелітополь, вул. Чернишевського, 26"
Запорізька область,Мелітополь,"Громадська спілка ""Асоціація малого та середнього бізнесу України""  ",Об'єднання підприємців,"Об’єднання малого та середнього бізнесу регіону в активну бізнес-спільноту, здатну ефективно вести та розвивати підприємницьку діяльність. Захист соціальних, економічних, правових та інших інтересів та потреб членів спілки. Послуги: консультації (юридичні, маркетингові); організація участі членів в освітніх та бізнес-заходах; надання бухгалтерських послуг; пошук партнерів; бізнес-планування; проєктний менеджмент. Членами спілки можуть стати МСБ, великий бізнес та громадські організації. <br />
"," м. Мелітополь, вул. Гетьманська 109, офіс 26 "
Запорізька область,Мелітополь,"Індустріальний парк ""Мелітополь""",Індустріальні парки,"Багатофункціональний простір, який складається із різних секторів – промислового, логістичного, ділового, агропереробного та зони для функціонування соціальних та культурних проєктів. В індустріальному парку працюють логістичний центр, сільськогосподарський кластер, машинобудівний кластер, зерноцех та цех з переробки круп, цех з розливу соняшникової олії, сонячна електростанція. Реалізуються проєкти: виставковий центр «Мелітополь-Експо», міні-квартал розваг та торгівлі.<br />
<br />
<br />
","м. Мелітополь, вул. Дмитра Донцова, 15"
Запорізька область,Мелітополь,Бізнес-Інкубатор LIFT ,"Коворкінги, інкубатори, акселератори","Бізнес-інкубатор в південно-східній Україні. На першому етапі в інкубаторі реалізовано 23 бізнес-проєкта (більше 100 робочих місць). Площа інкубатора 1100 м2, яка складається з офісів, коворкінг-центру, конференц-зали та кімнати для перемовин. Проєкт реалізовано завдяки підтримці USAID та GIZ. У рамках проєкту реалізовано ряд навчальних, інвестиційних та соціальних заходів, зокрема проєкт «Інвестиційна платформа», «Фабрика Підприємців», створено навчальний посібник «Реальне підприємництво».","м. Мелітополь, вул. Гетьманська 109, офіс 23 "
Запорізька область,Мелітополь,"Громадська спілка ""Соціальне підприємство ""Центр освіти дорослих ""Перший""",Об'єднання підприємців,"Проведення навчання, перекваліфікації, перепідготовки соціально незахищених верств населення відповідно до вимог наукового, культурного, технологічного прогресу та ринкової економіки; співпраця та партнерство з підприємствами, установами, організаціями будь-якої форми власності з метою забезпечення громадян робочими місцями; проведення тренінгів, навчальних курсів, лекцій, семінарів та практичних заходів, спрямованих на загальний розвиток соціально незахищених верств населення.","м. Мелітополь, вул. Героїв Сталінграда, 3а, оф. 58"
Запорізька область,Велика Білозерка,"Великобелозірська районна організація роботодавців ""Потенціал-Білозерка"" ",Об'єднання підприємців,,"Великобілозерський район, с. Велика Білозерка (частина 1 села), вул. Чарівна, 1Г "
Запорізька область,Веселе,Інформаційний пункт підтримки підприємця,Центри підтримки підприємництва,"Інформаційний пункт підприємця створений на базі ЦНАП, який є структурним підрозділом Веселівської селищної ради.","Веселівський район, смт Веселе, вул. Центральна, 136 (приміщення ЦНАП)"
Запорізька область,Вільнянськ,"ГО ""Асоціація фермерів та приватних землевласників Вільнянського району Запорізької області"" ",Об'єднання підприємців,Об'єднання землевласників з метою пітримки та захисту прав середніх і малих фермерів Вільнянського району.,"Вільнянський район, м. Вільнянськ, вул. Бочарова, 24-А, кв. 35"
Запорізька область,Широке,Бізнес Хаб Широківської ОТГ,Центри підтримки підприємництва,"Сучасний багатофункціональний простір для індивідуальної роботи підприємців, підприємців-початківців, самозайнятих осіб та тих, хто хоче відкрити власну справу. Приміщення оснащене офісною технікою, має окрему конференц-кімнату з мобільними меблями. Відвідувачі можуть безкоштовно працювати за комп’ютерами, вести скайп-наради та ділові перемовини з потенційними партнерами. На базі хабу проводяться робочі заходи, консультації, тренінги для бізнес-спільноти громади.","Запорізький район, с. Широке, вул. Центральна, 2"
Запорізька область,Плодородне,"ГО ""Рада жінок-фермерів Запорізької області"" ",Об'єднання підприємців,Інформаційна допомога жінкам-фермерам.,с. Плодородне
Запорізька область,Новомиколаївка,"ГО ""Новомиколаївська організація роботодавців""",Об'єднання підприємців,,"Новомиколаївський район, смт Новомиколаївка, вул. Шкільна, 85/б"
Запорізька область,Подспор'є,"ГО ""Асоціація фермерів Приморського району"" ",Об'єднання підприємців,"Розвиток фермерського руху, захист законних прав фермерів.","Приморський район, с. Підспір'я, вул. Гагаріна, 6"
Полтавська область,Полтава,"ВНЗ Укоопспілки ""Полтавський університет економіки і торгівлі""","Коворкінги, інкубатори, акселератори","Сучасний заклад вищої освіти, що реалізує у своїй освітній, науковій, міжнародній та партнерській діяльності світові стандарти якісної освіти. Університет є членом Хартії європейських університетів та посідає чільне місце у плеяді провідних вищих навчальних закладів Європи.","м. Полтава, вул. Коваля, 3"
Полтавська область,Кременчук,Фонд підтримки підприємництва,Фонди підтримки підприємництва,"Сприяння реалізації державної політики у сфері розвитку малого і середнього підприємництва шляхом залучення та ефективного використання фінансових ресурсів, фінансування цільових програм та проєктів.","м. Кременчук, пров. Тьомкіна, 4"
Полтавська область,Кременчук,"ГО ""Центр інновацій та соціально-бізнесових ініціатив""",Об'єднання підприємців,"Розвиток та підтримка впровадження економічних, соціальних, культурних та інших ініціатив громади міста шляхом надання аналітичної, дослідницької, творчої підтримки у процесі їх втілення у життя.","м. Кременчук, вул. Першотравнева, 1"
Полтавська область,Кременчук,"ГО ""Інша Жінка""",Об'єднання підприємців,"Мета організації - розбудувати спільноту освіченого суспільства, в якому інтелект буде трендом, а гендерна рівність - запорукою економічного зростання в суспільстві. Напрямки роботи: сучасна та доступна освіта, гендерна рівність та захист жінок та чоловіків, розвиток жіночого бізнесу, збільшення представництва жінок у владі та сферах прийняття рішень, викорінення гендерних стереотипів у суспільстві, освіті, сім'ї, антидискримінаційна діяльність, запобігання та протидія домашньому насильству.","м. Кременчук, вул. Соборна, 15/42"
Полтавська область,Полтава,Регіональна рада підприємців при ОДА,Об'єднання підприємців,,"м. Полтава, вул. Соборності, 45"
Полтавська область,Лубни,Рада підприємців м. Лубен,Об'єднання підприємців,Рада виконує свої повноваження на громадських засадах. Склад Ради становить 21 особу. Поточна робота Ради здійснюється згідно із затвердженим організаційним регламентом та планами роботи на відповідний період.,"м. Лубни, вул. Ярослава Мудрого, 33"
Полтавська область,Гребінка,"ГО ""Спілка підприємців Гребінківщини""",Об'єднання підприємців,,"м. Гребінка, пров. Пирятинський, 5А"
Полтавська область,Семенівка,Місцевий фонд підтримки підприємництва в Семенівському районі,Фонди підтримки підприємництва,,"Семенівський район, смт Семенівка, вул. Незалежності, 44"
Полтавська область,Миргород,Фонд підтримки підприємництва м. Миргорода,Фонди підтримки підприємництва,"Для надання фінансово-кредитної допомоги малому бізнесу в м. Миргороді функціонує Фонд підтримки підприємництва. Створений у 2003 році, він надає поворотну фінансову підтримку субєктам підприємницької діяльності у пріоритетних галузях міста.","м. Миргород, вул. Воскресінська, 9"
Полтавська область,Решетилівка,Рада сільськогосподарських товаровиробників Решитилівського району,Об'єднання підприємців,,"Решетилівський район, м. Решетилівка, вул. Великотирнівська, 4"
Полтавська область,Полтава,"ГО ""Об'єднання підприємців малого бізнесу м. Полтава""",Об'єднання підприємців,"Відстоювання спрощеної системи оподаткування, внесення змін до існуючого законодавства щодо регулювання підприємницької діяльності, участь у розвитку малого бізнесу в місті Полтава.","м. Полтава, вул. Пушкарівська, 22А, к.52"
Полтавська область,Полтава,Рада підприємців у м. Полтава,Об'єднання підприємців,"Формування дієвого механізму взаємодії органів місцевого самоврядування і суб’єктів господарювання на засадах партнерства, відкритості та прозорості, узгодження адміністративних та громадських зусиль по створенню в м. Полтаві сприятливих умов для розвитку бізнесу.","м. Полтава, вул. Соборності, 36"
Тернопільська область,Ланівці,Рада з питань розвитку малого та середнього підприємництва при РДА,Консультаційні та освітні центри,,"м. Ланівці, вул. Незалежності, 19"
Івано-Франківська область,Долина,"КП ""Долина-Інвест"" Долинської міської ради",Консультаційні та освітні центри,,"Долинський район, м. Долина, вул. Промислова, 5"
Івано-Франківська область,Коломия,"ГО ""Асоціація економічного розвитку Коломийщини"" ",Об'єднання підприємців,"Реалізувано понад 50 проєктів у рамках програм міжнародної технічної допомоги та ініціатив членів АЕРК за різними напрямками та видами діяльності. Це економічні, соціальні, екологічні, молодіжні, благодійні, культурологічні та інші проєкти й ініціативи. Зроблено десятки досліджень, розроблено низку аналітичних документів, здійснюється аналіз політики на місцевому рівні.","м. Коломия, вул. Івана Вагилевича, 3"
Івано-Франківська область,Коломия,"Коломийська міська молодіжна ГО ""Спілка української молоді""","Коворкінги, інкубатори, акселератори","Організація розпочала діяльність у рамках проєкту «Сприяння розвитку малого бізнесу в місті Коломиї шляхом створення бізнес-інкубатору «KOLBIС», який фінансується урядом Канади через Федерацію Канадських Муніципалітетів та реалізується в рамках діяльності проєкту міжнародної технічної допомоги ПРОМІС.","м. Коломия, бул. Чорновола, 49"
Івано-Франківська область,Косів,Рада підприємців при голові Косівської РДА,Об'єднання підприємців,"Місцева галузева рада підприємців є постійно діючим консультативно-дорадчим органом, що утворюється при районній державній адміністрації.","м. Косів, майдан Незалежності, 11"
Івано-Франківська область,,"ГО ""Туристична Асоціація Івано-Франківщини""",Об'єднання підприємців,"Розбудова туристичної галузі у Карпатському регіоні для сталого розвитку та підвищення добробуту місцевих громад. Заохочення до подорожей та довшого перебування туристів у регіоні та формування позитивних вражень. Просування туристичних дестинацій Карпатського регіону. Покращення транспортної, логістичної та інформаційної доступності. Проведення досліджень та аналітики, захист прав суб’єктів туристичного ринку, гарантування сприятливої галузевої політики та регуляторного середовища.","м. Івано-Франківськ, вул. Дністровська, 26, офіс 12"
Івано-Франківська область,,"ГО ""Спілка пасічників Прикарпаття""",Об'єднання підприємців,"Підтримка місцевих бджолярів, прозора співпраця між аграріями, органами місцевого самоврядування та пасічниками з метою плідної співпраці та уникнення негативних наслідків діяльності (потрави бджіл, непоінформованість тощо),  підвищення професійних навичок, конкурентоспроможності та поінформованості рядового пасічника.","м. Івано-Франківськ, вул. Грушевського, 21"
Івано-Франківська область,Бурштин,"ГО ""Агенція місцевого економічного розвитку Прикарпаття"" ",Агенції регіонального та місцевого розвитку,"Реалізація проєктів Програми соціального партнерства у місті Бурштин та Галицькому районі. Реалізація інформаційних, навчальних, промоційних заходів для підвищення конкурентоспроможності бізнесу та інвестиційної привабливості регіону. ","м. Бурштин, вул. Стрільців, 20"
Івано-Франківська область,Калуш,"ТОВ ""Калуський Бізнес-центр""",Центри підтримки підприємництва,"Надання бізнес-консультацій, проведення семінарів, тренінгів для підприємців малого та середнього бізнесу, для початківців. Надання оренди офісної техніки. Проводення комп'ютерних курсів, курсів іноземних мов, бухгалтерських курсів, курсів для офіс-менеджерів, курсів із започаткування власної справи для школярів-старшокласників.","м. Калуш, вул. Грушевського, 25"
Івано-Франківська область,Калуш,"ГО ""Центр сприяння економічному розвитку Калущини""",Об'єднання підприємців,"Організація та проведення семінарів, конференцій. Моніторинг економічного потенціалу району, забезпечення обміну досвідом та співпраця з іншими регіонами та країнами. Розробка проэктів та програм регіонального економічного та соціального розвитку, сприяння їх впровадженню. Сприяння освітній підготовці спеціалістів економічного розвитку.","м. Калуш, вул. Грушевського, 25"
Івано-Франківська область,Калуш, Рада підприємців при Калуській РДА,Об'єднання підприємців,Захист прав та представництво інтересів підприємців.,"м. Калуш, вул. Шевченка, 6"
Івано-Франківська область,Старий Мізунь,"ГО ""Кластер сільського туризму ""Бойківський колорит""",Об'єднання підприємців,,"Долинський район, с. Старий Мізунь, вул. Підсигавка, 11"
Івано-Франківська область,Рогатин,Рада підприємців при Рогатинській РДА,Об'єднання підприємців,,"Рогатинський район, м. Рогатин, вул. Галицька, 65"
Івано-Франківська область,Рогатин,Рада роботодавців при Рогатинській районній філії Івано-Франківського обласного центру зайнятості,Центри підтримки підприємництва,Системний аналіз ринку праці та підготовка пропозицій щодо його державного регулювання. Прогнозування потреб ринку праці у фахівцях в розрізі професій і спеціальностей.,"Рогатинський район, м. Рогатин, вул. Галицька, 46"
Івано-Франківська область,Верховина,"ГО ""Асоціація деревообробників та лісозаготівельників Верховинського району"" ",Об'єднання підприємців,,"Верховинський район, смт Верховина, вул. Жаб'євська, 57-а"
Івано-Франківська область,,"ГО ""Центр муніципального та регіонального розвитку - Ресурсний центр""",Об'єднання підприємців,"Написання проєктів, підтримка новостворених підприємств.","м. Івано-Франківськ, вул. Дністровська, 26"
Івано-Франківська область,,"Центр розвитку підприємництва ""Бізнес-інкубатор"" Інституту економіки й менеджменту Івано-Франківського національного технічного університету нафти і газу","Коворкінги, інкубатори, акселератори","Центр розвитку підприємництва ""Бізнес-Інкубатор"" ІЕМ ІФНТУНГ – новітня структурна одиниця на базі закладу вищої освіти, яка, з одного боку, сприяє розвитку підприємництва на теренах Івано-Франківщини, а з іншої сторони – допомагає студентам економічного та управлінського напрямів підготовки розвивати навики організації та ведення власної справи.","м. Івано-Франківськ, вул. Північний бульвар, 7б"
Івано-Франківська область,,"ТОВ ""Науковий парк ""Прикарпатський університет""",Технологічні та інноваційні парки,"Науковий парк займається коммерціалізацією перспективних інноваційних проєктів вчених ПНУ ім. В.Стефаника, допомагає у пошуку вітчизняних та іноземних партнерів для впровадження на ринок розробок місцевих науковців.","м. Івано-Франківськ, вул. Чорновола, 88"
Івано-Франківська область,,"БО ""Благодійний фонд ""Тепле місто""",Об'єднання підприємців,Головна мета - бути інноваційною платформою для створення можливостей і суспільних трансформацій. Спонукати прикладом Івано-Франківська зміни в Україні та поза її межами.,"м. Івано-Франківськ, вул. Академіка Сахарова, 23 (""Промприлад"", 3 поверх)"
